Time: 15:24 06/05/2023
PID: 1	 PPID: 0	 Name: systemd	 State: S	 TTYGID: -1	 Flags: 4194560	 Utime: 100	 Stime: 101	Priority: 20	Nice: 0	Threads: 1	Start: 12	Vmemory: 172265472	CMD: systemd	Memory: 3.28 MB	CPU: 0.10%
PID: 2	 PPID: 0	 Name: kthreadd	 State: S	 TTYGID: -1	 Flags: 2129984	 Utime: 0	 Stime: 1	Priority: 20	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: kthreadd	Memory: 0.00 MB	CPU: 0.00%
PID: 3	 PPID: 2	 Name: rcu_gp	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 12	Vmemory: 0	CMD: rcu_gp	Memory: 0.00 MB	CPU: 0.00%
PID: 4	 PPID: 2	 Name: rcu_par_gp	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 12	Vmemory: 0	CMD: rcu_par_gp	Memory: 0.00 MB	CPU: 0.00%
PID: 5	 PPID: 2	 Name: slub_flushwq	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 12	Vmemory: 0	CMD: slub_flushwq	Memory: 0.00 MB	CPU: 0.00%
PID: 6	 PPID: 2	 Name: netns	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 12	Vmemory: 0	CMD: netns	Memory: 0.00 MB	CPU: 0.00%
PID: 8	 PPID: 2	 Name: kworker/0:0H-events_highpri	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 12	Vmemory: 0	CMD: kworker/0:0H-events_highpri	Memory: 0.00 MB	CPU: 0.00%
PID: 10	 PPID: 2	 Name: mm_percpu_wq	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 12	Vmemory: 0	CMD: mm_percpu_wq	Memory: 0.00 MB	CPU: 0.00%
PID: 11	 PPID: 2	 Name: rcu_tasks_kthread	 State: I	 TTYGID: -1	 Flags: 2129984	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: rcu_tasks_kthread	Memory: 0.00 MB	CPU: 0.00%
PID: 12	 PPID: 2	 Name: rcu_tasks_rude_kthread	 State: I	 TTYGID: -1	 Flags: 2129984	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: rcu_tasks_rude_kthread	Memory: 0.00 MB	CPU: 0.00%
PID: 13	 PPID: 2	 Name: rcu_tasks_trace_kthread	 State: I	 TTYGID: -1	 Flags: 2129984	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: rcu_tasks_trace_kthread	Memory: 0.00 MB	CPU: 0.00%
PID: 14	 PPID: 2	 Name: ksoftirqd/0	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 3	 Stime: 16	Priority: 20	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: ksoftirqd/0	Memory: 0.00 MB	CPU: 0.01%
PID: 15	 PPID: 2	 Name: rcu_preempt	 State: I	 TTYGID: -1	 Flags: 2129984	 Utime: 93	 Stime: 442	Priority: 20	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: rcu_preempt	Memory: 0.00 MB	CPU: 0.26%
PID: 16	 PPID: 2	 Name: migration/0	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 4	Priority: -100	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: migration/0	Memory: 0.00 MB	CPU: 0.00%
PID: 17	 PPID: 2	 Name: idle_inject/0	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 0	Priority: -51	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: idle_inject/0	Memory: 0.00 MB	CPU: 0.00%
PID: 19	 PPID: 2	 Name: cpuhp/0	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: cpuhp/0	Memory: 0.00 MB	CPU: 0.00%
PID: 20	 PPID: 2	 Name: cpuhp/1	 State: S	 TTYGID: -1	 Flags: 69239104	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: cpuhp/1	Memory: 0.00 MB	CPU: 0.00%
PID: 21	 PPID: 2	 Name: idle_inject/1	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 0	Priority: -51	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: idle_inject/1	Memory: 0.00 MB	CPU: 0.00%
PID: 22	 PPID: 2	 Name: migration/1	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 15	Priority: -100	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: migration/1	Memory: 0.00 MB	CPU: 0.01%
PID: 23	 PPID: 2	 Name: ksoftirqd/1	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 12	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: ksoftirqd/1	Memory: 0.00 MB	CPU: 0.01%
PID: 25	 PPID: 2	 Name: kworker/1:0H-events_highpri	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 12	Vmemory: 0	CMD: kworker/1:0H-events_highpri	Memory: 0.00 MB	CPU: 0.00%
PID: 26	 PPID: 2	 Name: cpuhp/2	 State: S	 TTYGID: -1	 Flags: 69239104	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: cpuhp/2	Memory: 0.00 MB	CPU: 0.00%
PID: 27	 PPID: 2	 Name: idle_inject/2	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 0	Priority: -51	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: idle_inject/2	Memory: 0.00 MB	CPU: 0.00%
PID: 28	 PPID: 2	 Name: migration/2	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 15	Priority: -100	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: migration/2	Memory: 0.00 MB	CPU: 0.01%
PID: 29	 PPID: 2	 Name: ksoftirqd/2	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 8	Priority: 20	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: ksoftirqd/2	Memory: 0.00 MB	CPU: 0.00%
PID: 31	 PPID: 2	 Name: kworker/2:0H-events_highpri	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 12	Vmemory: 0	CMD: kworker/2:0H-events_highpri	Memory: 0.00 MB	CPU: 0.00%
PID: 32	 PPID: 2	 Name: cpuhp/3	 State: S	 TTYGID: -1	 Flags: 69239104	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: cpuhp/3	Memory: 0.00 MB	CPU: 0.00%
PID: 33	 PPID: 2	 Name: idle_inject/3	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 0	Priority: -51	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: idle_inject/3	Memory: 0.00 MB	CPU: 0.00%
PID: 34	 PPID: 2	 Name: migration/3	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 16	Priority: -100	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: migration/3	Memory: 0.00 MB	CPU: 0.01%
PID: 35	 PPID: 2	 Name: ksoftirqd/3	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 7	Priority: 20	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: ksoftirqd/3	Memory: 0.00 MB	CPU: 0.00%
PID: 37	 PPID: 2	 Name: kworker/3:0H-events_highpri	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 12	Vmemory: 0	CMD: kworker/3:0H-events_highpri	Memory: 0.00 MB	CPU: 0.00%
PID: 38	 PPID: 2	 Name: cpuhp/4	 State: S	 TTYGID: -1	 Flags: 69239104	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: cpuhp/4	Memory: 0.00 MB	CPU: 0.00%
PID: 39	 PPID: 2	 Name: idle_inject/4	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 0	Priority: -51	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: idle_inject/4	Memory: 0.00 MB	CPU: 0.00%
PID: 40	 PPID: 2	 Name: migration/4	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 16	Priority: -100	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: migration/4	Memory: 0.00 MB	CPU: 0.01%
PID: 41	 PPID: 2	 Name: ksoftirqd/4	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 6	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: ksoftirqd/4	Memory: 0.00 MB	CPU: 0.00%
PID: 43	 PPID: 2	 Name: kworker/4:0H-events_highpri	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 12	Vmemory: 0	CMD: kworker/4:0H-events_highpri	Memory: 0.00 MB	CPU: 0.00%
PID: 44	 PPID: 2	 Name: cpuhp/5	 State: S	 TTYGID: -1	 Flags: 69239104	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: cpuhp/5	Memory: 0.00 MB	CPU: 0.00%
PID: 45	 PPID: 2	 Name: idle_inject/5	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 0	Priority: -51	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: idle_inject/5	Memory: 0.00 MB	CPU: 0.00%
PID: 46	 PPID: 2	 Name: migration/5	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 16	Priority: -100	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: migration/5	Memory: 0.00 MB	CPU: 0.01%
PID: 47	 PPID: 2	 Name: ksoftirqd/5	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 3	 Stime: 3	Priority: 20	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: ksoftirqd/5	Memory: 0.00 MB	CPU: 0.00%
PID: 49	 PPID: 2	 Name: kworker/5:0H-kblockd	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 12	Vmemory: 0	CMD: kworker/5:0H-kblockd	Memory: 0.00 MB	CPU: 0.00%
PID: 50	 PPID: 2	 Name: cpuhp/6	 State: S	 TTYGID: -1	 Flags: 69239104	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 12	Vmemory: 0	CMD: cpuhp/6	Memory: 0.00 MB	CPU: 0.00%
